Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Santiago Fernndez,M,Argentina,ARG,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Santiago Fernndez,M,Argentina,ARG,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Gaper Fistravec,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Matthias Flach,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Deborah Flood,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
Deborah Flood,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Rodica Florea-erban,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Rodica Florea-erban,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Cormac Folan,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Katie Foulkes,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
ngel Rodrguez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Pedro Fraga,M,Portugal,POR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Zsuzsanna Francia,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Scott Frandsen,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Scott Frandsen,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
Pauline Frasca,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Pierpaolo Frattini,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Duncan Free,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Duncan Free,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold
Alice Freeman,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Jan-Willem Gabrils,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Jan-Willem Gabrils,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Ahmed Gad,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Liliana Gafencu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Bastien Gallet,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Rossano Galtarossa,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Double Sculls,Bronze
Rossano Galtarossa,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Gao Yanhua,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Gao Yulan,F,China,CHN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Silver
Toby Garbett,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Angel Correale,M,Uruguay,URU,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Martha Mayo,F,Mexico,MEX,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Peter Gardner,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Mohamed Garidi,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Federico Gattinoni,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Scott Gault,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Hilary Gehman,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Marco Geisler,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Nataliya Gelakh,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Bronze
Nataliya Gelakh,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Bronze
Elena Georgescu-nedelcu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Elena Georgescu-nedelcu,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Justin Gevaert,M,Belgium,BEL,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Adriana Geyser,F,South Africa,RSA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Luca Ghezzi,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Thomas Gibson,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Drew Ginn,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Gold
Drew Ginn,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold
Ibrahim Githaiga,M,Kenya,KEN,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Jarosaw Godek,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Jarosaw Godek,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Marshall Godschalk,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Maxime Goisset,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Sandra Goldbach,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Jennifer (-beery),F,United States,USA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Thiago Gomes,M,Brazil,BRA,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Thiago Gomes,M,Brazil,BRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Jess Alvarez,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mayra Borroto,F,Cuba,CUB,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Anna Goodale,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Hester Goodsell,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Katherine Grainger,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Silver
Katherine Grainger,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Luciana Granato,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Olivier Gremaud,M,Switzerland,SUI,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Catherine (-solesbury),F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Paul Griffin,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Paul Griffin,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mindaugas Grikonis,M,Lithuania,LTU,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Jan Gruber,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Hans Gruhne,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Michelle Guerette,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Michelle Guerette,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Single Sculls,Silver
Krista Guloien,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Leonid Gulov,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Silke Gnther,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Guo Kang,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Wojciech Gutorski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Wojciech Gutorski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Marcel Hacker,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Marcel Hacker,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Juliette Haigh,F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Juliette Haigh,F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
kos Haller,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Amber Halliday,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Amber Halliday,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Ham Jeong-uk,M,South Korea,KOR,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Sjoerd Hamburger,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Kyle Hamilton,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Kyle Hamilton,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Jakub Hank,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Jakub Hank,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Joseph Hansen,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Boden Hanson,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxed Eights,Bronze
Janine Hanson,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Peter Hardcastle,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Peter Hardcastle,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Adrien Hardy,M,France,FRA,2004,Athina,Rowing,Rowing Men's Double Sculls,Gold
Adrien Hardy,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Raphael Hartl,M,Austria,AUT,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Gavin Hassett,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Gregor Hauffe,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
He Yi,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Sarah Heard,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Alastair Heathcote,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Francis Hegerty,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Silver
Bernd Heidicker,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Monique Heinke,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Rafa Hejmej,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Rafa Hejmej,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Michael Hennessy,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Christina (gerking-),F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Dhison Echezuria,M,Venezuela,VEN,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Yoennis Arruez,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Yoennis Arruez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Thomas Herschmiller,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Fours,Silver
Jan Herzog,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Hin Th,F,Vietnam,VIE,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Elana Hill,F,Zimbabwe,ZIM,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Elke Hipler,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Elke Hipler,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Zsolt Hirling,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Zsolt Hirling,M,Hungary,HUN,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Piotr Hojka,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Ben Holbrook,M,United States,USA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Danika Holbrook-harris,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Britta Holthaus,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Nienke Hommes,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Beau Hoopman,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Beau Hoopman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Kerry Hore,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Kerry Hore,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Kate Hornsey,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Michal Horvth,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Andrew Hoskins,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Zo Hoskins,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Homa Hosseini,F,Iran,IRI,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Frances Houghton,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
Frances Houghton,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Marguerite Houston,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Elliot Hovey,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Malcolm Howard,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Natasha Howard,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Andrej Hrabar,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Serhiy Hryn,M,Ukraine,UKR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Bronze
Serhiy Hryn,M,Ukraine,UKR,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Huang Zhongming,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Nataliya Huba,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Gabriela Trillo,F,Mexico,MEX,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Gabriela Trillo,F,Mexico,MEX,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Matthew Hughes,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Mark Hunter,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mark Hunter,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Christiane Huth,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Double Sculls,Silver
Renee Hykel,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Gaetano Iannuzzi,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Abdel Ibrahim,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Ali Ibrahim,M,Egypt,EGY,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Ali Ibrahim,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Rodrigo Forero,M,Colombia,COL,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Yosvel Montano,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Doina Ignat,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Doina Ignat,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Petr Imre,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Joshua Inman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Amy Ives,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Akiko Iwamoto,F,Japan,JPN,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Akiko Iwamoto,F,Japan,JPN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jri Jaanson,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Single Sculls,Silver
Jri Jaanson,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Double Sculls,Silver
Soraya Arriaza,F,Chile,CHI,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Soraya Arriaza,F,Chile,CHI,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Goran Jagar,M,Serbia,SRB,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Robert Jahrling,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Thomas James,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Thomas James,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Gold
Andrei Jms,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Andrei Jms,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Jang Kang-eun,M,South Korea,KOR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Christopher Jarvis,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Hamzah Jebur,M,Iraq,IRQ,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
George Jelbart,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Micha Jeliski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Micha Jeliski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Ji Yoo-jin,F,South Korea,KOR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jin Ziwei,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Jin Ziwei,F,China,CHN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Gold
David Jirka,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
David Jirka,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Katherine Johnson,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Craig Jones,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Mara Jones,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Sarah Jones,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Morten Jrgensen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Kenneth Jurkowski,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Janez Jure,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Jernej Jure,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Jennifer Kaido,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Yuliya Kalinovskaya,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Yuliya Kalinovskaya,F,Russia,RUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Megan Kalmoe,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Tom Karas,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Per Karonen,M,Sweden,SWE,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Urs Kufer,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Kstutis Keblys,M,Lithuania,LTU,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Shaun Keeling,M,South Africa,RSA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Sally Kehoe,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Elizabeth Kell,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Magdalena Kemnitz,F,Poland,POL,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Devender Khandwal,M,India,IND,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Yekaterina Khodotovich-karsten,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Single Sculls,Silver
Yekaterina Khodotovich-karsten,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Single Sculls,Bronze
Ioannis Khristou,M,Greece,GRE,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Kim Hong-kyun,M,South Korea,KOR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Nienke Kingma,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Jozef Klaassen,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Meindert Klem,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Janez Klemeni,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Garrett Klugh,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Alison Knowles,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Ko Young-eun,F,South Korea,KOR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jonathan Koch,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Melanie Kok,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Rok Kolander,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Marek Kolbowicz,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Marek Kolbowicz,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Tetiana Kolesnikova,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Tetiana Kolesnikova,F,Ukraine,UKR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Sabrina Kolker,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Sabrina Kolker,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Stephan Koltzk,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
David Kopiva,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Laurel Korholz,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Aleksandr Kornilov,M,Russia,RUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Pere Koroba,F,Indonesia,INA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Adam Korol,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Adam Korol,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Sebastian Kosiorek,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Sebastian Kosiorek,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Kerstin Kowalski-el-qalqili,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Aleksandr Kozubovsky,M,Belarus,BLR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Milka Kraljev,F,Argentina,ARG,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Igor Kravtsov,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
Adam Kreek,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Adam Kreek,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Hans Kristensen,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Stephan Krger,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Sawomir Kruszkowski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Sawomir Kruszkowski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Tomasz Kucharski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Tobias Khne,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Jochen Khner,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Martin Khner,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
David Kuiper,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Misaki Kumakura,F,Japan,JPN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Ante Kuurin,M,Croatia,CRO,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Igor Kuzmin,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Igor Kuzmin,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Tracy Langlands,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Matthew Langridge,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Matthew Langridge,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Giuseppe Lanzone,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Dario Lari,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Thomas Larsen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Vladimir Latin,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Christophe Lattaignant,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Thomas Laurich,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
